Country,,Region,,City ,
1,-4,1,-5,1,-1
2,-2,2,0,2,-10
3,-5,3,-10,3,0
4,-2,4,-7,4,-10
5,-9,5,0,5,0
6,-10,6,-6,6,-3
7,-4,7,-4,7,-8
8,-8,8,-8,8,-1
9,-5,9,-9,9,-2
10,-3,10,-8,10,-3
11,-8,11,0,11,-4
12,0,12,-2,12,-10
13,-9,13,-4,13,-10
14,-10,14,0,14,-2
15,-5,15,-10,15,-1
16,-8,16,-7,16,0
17,-10,17,-9,17,-3
18,-3,18,-9,18,-1
19,-2,19,-6,19,-1
20,-3,20,-2,20,0
21,-6,21,0,21,-2
22,-1,22,-3,22,-6
23,-9,23,-1,23,-1
24,-6,24,-3,24,-2
25,-4,25,-1,25,-9
26,-2,26,-4,26,-3
27,-8,27,-9,27,-5
28,-7,28,-9,28,-4
29,-9,29,-4,29,-10
30,-4,30,-2,30,0
31,-1,31,-10,31,-7
32,-4,32,-6,32,-2
33,-2,33,-9,33,-3
34,-8,34,-4,34,-10
35,-2,35,-1,35,-2
36,-8,36,-9,36,-8
37,-2,37,-9,37,-6
38,-7,38,-6,38,-2
39,-4,39,-7,39,-6
40,0,40,-8,40,-2
41,-1,41,-7,41,0
42,0,42,-2,42,-6
43,-5,43,-10,43,-7
44,-1,44,-8,44,-1
45,-7,45,-2,45,-7
46,-2,46,0,46,-9
47,0,47,-7,47,-5
48,-3,48,0,48,-9
49,-1,49,0,49,-4
50,-2,50,-6,50,0
51,-5,51,-1,51,-1
52,-3,52,-8,52,-3
53,-2,53,-4,53,-2
54,-2,54,-8,54,-1
55,-4,55,-8,55,-6
56,-10,56,-9,56,-2
57,-2,57,-7,57,-8
58,-6,58,-5,58,-7
59,-5,59,-8,59,-3
60,-1,60,-5,60,-10
61,-7,61,-9,61,-6
62,-9,62,-4,62,-7
63,-7,63,-3,63,-4
64,-6,64,-10,64,-1
65,-4,65,-2,65,-3
66,-2,66,-8,66,-10
67,-10,67,-10,67,-10
68,-7,68,-4,68,-6
69,0,69,-2,69,-8
70,-1,70,-10,70,-6
71,-10,71,-7,71,0
72,-4,72,-7,72,-7
73,-5,73,0,73,-9
74,-5,74,-3,74,-4
75,-10,75,-10,75,-9
76,0,76,0,76,-10
77,0,77,-3,77,-3
78,-8,78,-3,78,-8
79,-6,79,-5,79,-6
80,-7,80,-8,80,-3
81,-9,81,-6,81,-9
82,-2,82,-1,82,-6
83,-9,83,-8,83,-10
84,-7,84,-8,84,-1
85,-2,85,-2,85,-5
86,0,86,-4,86,-8
87,-4,87,-3,87,0
88,-9,88,-5,88,-3
89,-6,89,-10,89,0
90,-6,90,0,90,-7
91,-4,91,-6,91,-6
92,-2,92,-1,92,-4
93,-2,93,0,93,-4
94,-6,94,0,94,-4
95,-8,95,-6,95,-6
96,-4,96,-4,96,0
97,-5,97,-6,97,-5
98,-9,98,-4,98,-7
99,-7,99,0,99,-7
100,-4,100,-6,100,-6
